Raw channels: 19287
Wanted remaining channels: 129
Matched: 129
Still missing: 0

MATCH | CBS.SPORTS.HQ.us | CBS Sports HQ | score=178 | via="CBS.SPORTS.HQ.us" | site_id="cbs-sports-network-canada-hd/10711" | raw="CBS Sports Network Canada HD" | raw_xmltv_id="CBSSportsNetworkCanada.ca@SD"
MATCH | ESPN.NEWS.us | ESPN News | score=498 | via="ESPN News" | site_id="espn-news-hd/6246" | raw="ESPN News HD" | raw_xmltv_id="ESPNews.us@SD"
MATCH | OUTDOOR.CHANNEL.us | Outdoor Channel | score=343 | via="OUTDOOR.CHANNEL.us" | site_id="outdoor-channel-us-hd/4638" | raw="Outdoor Channel US HD" | raw_xmltv_id="OutdoorChannel.us@HD"
MATCH | AWE.us | AWE | score=483 | via="AWE" | site_id="awe-tv-network-hd/6306" | raw="AWE TV Network HD" | raw_xmltv_id="awe-tv-network-hd/6306"
MATCH | GREAT.AMERICAN.FAMILY.us | Great American Family | score=368 | via="GAF" | site_id="fox-waga-atlanta-ga-hd/6275" | raw="FOX (WAGA) Atlanta, GA HD" | raw_xmltv_id="WAGATV51.us@HD"
MATCH | HBO.US.us | HBO | score=489 | via="HBO" | site_id="hbo-2--eastern-feed-hd/6313" | raw="HBO 2 - Eastern Feed HD" | raw_xmltv_id="HBO2.us@East"
MATCH | HBO.CANADA.ca | HBO Canada | score=490 | via="HBO Canada" | site_id="hbo-canada-2--west/292" | raw="HBO Canada 2 - West" | raw_xmltv_id="hbo-canada-2--west/292"
MATCH | HBO.2.CANADA.ca | HBO 2 Canada | score=170 | via="HBO.2.CANADA.ca" | site_id="hbo-canada-2--west/292" | raw="HBO Canada 2 - West" | raw_xmltv_id="hbo-canada-2--west/292"
MATCH | HBO.COMEDY.us | HBO Comedy | score=504 | via="HBO Comedy" | site_id="hbo-comedy-hd--east/7105" | raw="HBO Comedy HD - East" | raw_xmltv_id="HBOComedy.us@East"
MATCH | HBO.DRAMA.us | HBO Drama | score=169 | via="HBO.DRAMA.us" | site_id="hbo-2--eastern-feed-hd/6313" | raw="HBO 2 - Eastern Feed HD" | raw_xmltv_id="HBO2.us@East"
MATCH | HBO.HITS.us | HBO Hits | score=169 | via="HBO.HITS.us" | site_id="hbo-2--eastern-feed-hd/6313" | raw="HBO 2 - Eastern Feed HD" | raw_xmltv_id="HBO2.us@East"
MATCH | HBO.MOVIES.us | HBO Movies | score=169 | via="HBO.MOVIES.us" | site_id="hbo-2--eastern-feed-hd/6313" | raw="HBO 2 - Eastern Feed HD" | raw_xmltv_id="HBO2.us@East"
MATCH | SHOWTIME.us | Showtime | score=489 | via="SHO" | site_id="game-show-network--east-hd/7055" | raw="Game Show Network - East HD" | raw_xmltv_id="game-show-network--east-hd/7055"
MATCH | SHOWTIME.BET.us | Showtime BET | score=169 | via="SHOWTIME.BET.us" | site_id="bet-hd--eastern-feed/6205" | raw="BET HD - Eastern Feed" | raw_xmltv_id="BET.us@East"
MATCH | SHOWTIME.EXTREME.us | Showtime Extreme | score=489 | via="SHOX" | site_id="shoxbet-hd--eastern/7110" | raw="SHOXBET HD - Eastern" | raw_xmltv_id="shoxbet-hd--eastern/7110"
MATCH | SHOWTIME.EXTREME.HD.us | Showtime Extreme HD | score=489 | via="SHOX HD" | site_id="shoxbet-hd--eastern/7110" | raw="SHOXBET HD - Eastern" | raw_xmltv_id="shoxbet-hd--eastern/7110"
