# CANADA / CA CHANNEL LIST
# FULL PROVIDER EXPORT - GROUPS, CHANNEL NAMES, AND IDs
#

# ==================================================
# GROUP: CA| CANADA WEST PPV
# ==================================================
CBC 1: sports|FIBA Mens 3X3 Basketball World Tour: DAY 1 - Macau | STREAM_ID=633258 | EPG_CHANNEL_ID=
CBC 20: sports|ISU Grand Prix of Figure Skating: Skate America - Ice Dance Free Dance - 20/10 12:22 | STREAM_ID=633239 | EPG_CHANNEL_ID=
CBC 21: sports|ISU Grand Prix of Figure Skating: Skate America - Gala - 20/10 17:45 | STREAM_ID=633238 | EPG_CHANNEL_ID=
CBC 22: | STREAM_ID=633237 | EPG_CHANNEL_ID=
CBC 23: | STREAM_ID=633236 | EPG_CHANNEL_ID=
CBC 24: | STREAM_ID=633235 | EPG_CHANNEL_ID=
CBC 25: | STREAM_ID=633234 | EPG_CHANNEL_ID=
CBC 26: | STREAM_ID=633233 | EPG_CHANNEL_ID=
CBC 27: | STREAM_ID=633232 | EPG_CHANNEL_ID=
CBC 28: | STREAM_ID=633231 | EPG_CHANNEL_ID=
CBC 29: | STREAM_ID=633230 | EPG_CHANNEL_ID=
CBC 2: sports|World Volleyball Beach Pro Tour Elite16: DAY 3 | Court 2 - João Pessoa | STREAM_ID=633257 | EPG_CHANNEL_ID=
CBC 30: | STREAM_ID=633229 | EPG_CHANNEL_ID=
CBC 31: | STREAM_ID=633228 | EPG_CHANNEL_ID=
CBC 32: | STREAM_ID=633227 | EPG_CHANNEL_ID=
CBC 33: | STREAM_ID=633226 | EPG_CHANNEL_ID=
CBC 34: | STREAM_ID=633225 | EPG_CHANNEL_ID=
